H2O	O
5-Fluorodeoxyuridine	C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
1-Hydroxy-2-methyl-2-butenyl 4-diphosphate	CC(=CCOP(=O)(O)OP(=O)(O)O)CO
13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)CCC(=O)O)C(CC(=O)OC)O)C)C(=C3C)C=C)C=C.[Mg+2]
13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)CCC(=O)O)C(=O)CC(=O)OC)C)C(=C3C)C=C)C=C.[Mg+2]
Divinylprotochlorophyllide	
(S)-4,5-Dihydroxypentane-2,3-dione	CC(=O)C(=O)C(CO)O
Methanophenazine	CC(CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)CCOC1=CC2=NC3=CC=CC=C3N=C2C=C1
Dihydromethanophenazine	CC(CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)CCOC1=CC2=C(C=C1)NC3=CC=CC=C3N2
dTDP-4-oxo-6-deoxy-D-glucose	CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O
3,6-Dideoxy-3-oxo-dTDP-D-glucose	CC1C(C(=O)C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O
dTDP-3-oxo-4,6-dideoxy-D-glucose	CC1CC(=O)C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O
dTDP-3-amino-3,4,6-trideoxy-D-glucose	CC1CC(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)N
dTDP-4-oxo-2,6-dideoxy-D-glucose	CC1C(=O)C(CC(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O
Perillic acid	CC(=C)C1CCC(=CC1)C(=O)O
dTDP-3-amino-3,6-dideoxy-D-glucose	CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)N)O
dTDP-4-oxo-2,6-dideoxy-D-allose	CC1C(=O)C(CC(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O
L-Threonine O-3-phosphate	CC(C(C(=O)O)N)OP(=O)(O)O
5-Hydroxyferuloyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC(=C(C(=C4)OC)O)O)O
Kanosamine 6-phosphate	C(C1C(C(C(C(O1)O)O)N)O)OP(=O)(O)O
Aminofructose 6-phosphate	C(C1C(C(C(O1)(CO)O)N)O)OP(=O)(O)O
Iminoerythrose 4-phosphate	C(C(C(C=N)O)O)OP(=O)(O)O
dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose	CC1C(=O)C(CC(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)N
3,5-Dihydroxyphenylacetyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC4=CC(=CC(=C4)O)O)O
3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp]	
3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp]	
3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp]	
3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp]	
3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp]	
Tetracenomycin F2	
8-Demethyltetracenomycin C	CC1=C(C(=CC2=CC3=C(C(=C12)O)C(=O)C4(C(=O)C=C(C(C4(C3=O)O)O)OC)O)O)C(=O)OC
18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp]	
5-Aminopentanal	C(CCN)CC=O
5'-Deoxy-5-fluorouridine	CC1C(C(C(O1)N2C=C(C(=O)NC2=O)F)O)O
UDP-N-acetyl-D-galactosaminuronic acid	CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)C(=O)O)O)O
1-Hydroxymethylnaphthalene	C1=CC=C2C(=C1)C=CC=C2CO
1-Naphthaldehyde	C1=CC=C2C(=C1)C=CC=C2C=O
2-Naphthaldehyde	C1=CC=C2C=C(C=CC2=C1)C=O
Adipyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCCC(=O)O)O
5-Carboxy-2-pentenoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CCCC(=O)O)O
(3S)-3-Hydroxyadipyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(CCC(=O)O)O)O
(R)-3-Hydroxy-3-methyl-2-oxopentanoate	CCC(C)(C(=O)C(=O)O)O
3-Hydroxyaminophenol	C1=CC(=CC(=C1)O)NO
Aminohydroquinone	C1=CC(=C(C=C1O)N)O
(S)-5-Oxo-2,5-dihydrofuran-2-acetate	C1=CC(=O)OC1CC(=O)O
Fe2+	[Fe+2]
Fe3+	[Fe+3]
3-Dehydro-L-gulonate 6-phosphate	C(C(C(C(=O)C(C(=O)O)O)O)O)OP(=O)(O)O
N-Acetyl-L-citrulline	CC(=O)NC(CCCNC(=O)N)C(=O)O
1,4-Dihydroxy-2-naphthoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4=C(C5=CC=CC=C5C(=C4)O)O)O
L-3,4-Dihydroxybutan-2-one 4-phosphate	CC(=O)C(COP(=O)(O)O)O
Quinone	C1=CC(=O)C=CC1=O
Hydroquinone	
1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one	CSCCC(=O)C(=CO)O
(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA	CC(CCCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(C(CC6C5C(CC7C6(CCC(C7)O)C)O)O)C
2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate	CSCCC(=O)C(=COP(=O)(O)O)O
5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	C1=C(N(C=N1)C2C(C(C(O2)COP(=O)(O)O)O)O)NC(=O)O
Heme O	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C(CCC=C(C)CCC=C(C)CCC=C(C)C)O)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2]
2-Dehydro-L-idonate	C(C(C(C(C(=O)C(=O)O)O)O)O)O
gamma-L-Glutamylputrescine	C(CCNC(=O)CCC(C(=O)O)N)CN
gamma-Glutamyl-gamma-aminobutyraldehyde	C(CC=O)CNC(=O)CCC(C(=O)O)N
4-(L-gamma-Glutamylamino)butanoate	C(CC(=O)O)CNC(=O)CCC(C(=O)O)N
Iminoglycine	C(=N)C(=O)[O-]
3-Methyl-1-hydroxybutyl-ThPP	CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(CC(C)C)O)CCOP(=O)(O)OP(=O)(O)O
2-Methyl-1-hydroxypropyl-ThPP	CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(C(C)C)O)CCOP(=O)(O)OP(=O)(O)O
2-Methyl-1-hydroxybutyl-ThPP	CCC(C)C(C1=[N+](C(=C(S1)CCOP(=O)(O)OP(=O)(O)O)C)CC2=CN=C(N=C2N)C)O
7-Cyano-7-carbaguanine	C1=C(C2=C(N1)N=C(NC2=O)N)C#N
UDP-L-Ara4N	C1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O)N
UDP-L-Ara4O	C1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O
2-Formylglutarate	C(CC(=O)O)C(C=O)C(=O)O
3-Oxostearoyl-[acp]	
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]	
(2E)-Octadecenoyl-[acp]	
Cobalt-precorrin 5A	CC1C23C4=C(C(C(=N4)C=C5C(=C(C([N-]5)(CC6=C(C(C(=N6)C=C([N-]2)C(C3(CC(=O)O1)C)CCC(=O)O)(C)CC(=O)O)CCC(=O)O)C)CC(=O)O)CCC(=O)O)(C)CCC(=O)O)CC(=O)O.[Co]
Cobalt-precorrin 5B	CC12CC3=C(C(C(=N3)C=C4C(C(C(=C5C(C(C(=N5)C=C([N-]1)C(=C2CC(=O)O)CCC(=O)O)(C)CCC(=O)O)CC(=O)O)[N-]4)(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O)CCC(=O)O.[Co]
3-Hydroxy-5-oxohexanoate	CC(=O)CC(CC(=O)[O-])O
3-Hydroxy-5-oxohexanoyl-CoA	CC(=O)CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-Oxo-OPC8-CoA	CCC=CCC1C(CCC1=O)CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O)O)O
OPC6-CoA	CCC=CCC1C(CCC1=O)CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O)O)O
3-Oxo-OPC6-CoA	CCC=CCC1C(CCC1=O)CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O)O)O
OPC4-CoA	CCC=CCC1C(CCC1=O)CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O)O)O
3-Oxo-OPC4-CoA	CCC=CCC1C(CCC1=O)CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O)O)O
(+)-7-Isojasmonic acid CoA	CCC=CCC1C(CCC1=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O)O)O
cis-3-Chloroallyl aldehyde	C(=CCl)C=O
1,3,7-Trimethyluric acid	CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C
(S)-2-(Hydroxymethyl)glutarate	C(CC(=O)O)C(CO)C(=O)O
Trinitrotoluene	CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
4-Hydroxylamino-2,6-dinitrotoluene	CC1=C(C=C(C=C1[N+](=O)[O-])NO)[N+](=O)[O-]
2-Hydroxylamino-4,6-dinitrotoluene	CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])NO
Geranic acid	CC(=CCCC(=CC(=O)O)C)C
Citronellate	CC(CCC=C(C)C)CC(=O)O
3',5'-Cyclic diGMP	C1C2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(OCC5C(C(C(O5)N6C=NC7=C6N=C(NC7=O)N)O)OP(=O)(O1)O)O
7-Methyl-3-oxo-6-octenoyl-CoA	CC(=CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C
(2E)-5-Methylhexa-2,4-dienoyl-CoA	CC(=CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C
3-Hydroxy-5-methylhex-4-enoyl-CoA	CC(=CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O)C
5-Methylhex-4-enoyl-CoA	CC(=CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C
5-Methyl-3-oxo-4-hexenoyl-CoA	CC(=CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C
3-Fluoro-cis,cis-muconate	C(=CC(=O)O)C(=CC(=O)O)F
4-Fluoromuconolactone	C1=CC(OC1=O)(CC(=O)O)F
Farnesoic acid	CC(=CCCC(=CCCC(=CC(=O)[O-])C)C)C
2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate	C=C(C(=O)O)OC1C=CC(C(C1O)C(=O)O)C(=O)CCC(=O)O
Alcophosphamide	C(CO)COP(=O)(N)N(CCCl)CCCl
Aminopropylcadaverine	C(CCN)CCNCCCN
trans-Homoaconitate	C(CC(=O)O)C(=CC(=O)O)C(=O)O
(R)-(Homo)2-citrate	C(CC(=O)O)CC(CC(=O)O)(C(=O)O)O
2-Phenyl-1,3-propanediol monocarbamate	C1=CC=C(C=C1)C(CO)COC(=O)N
3-Carbamoyl-2-phenylpropionaldehyde	C1=CC=C(C=C1)C(COC(=O)N)C=O
2-Oxopimelate	C(CCC(=O)O)CC(=O)C(=O)O
2-Oxosuberate	C(CCC(=O)C(=O)[O-])CCC(=O)[O-]
3-Carbamoyl-2-phenylpropionic acid	C1=CC=C(C=C1)C(COC(=O)N)C(=O)O
4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	C1C(C(NC(=O)O1)O)C2=CC=CC=C2
5-Phenyl-1,3-oxazinane-2,4-dione	C1C(C(=O)NC(=O)O1)C2=CC=CC=C2
(-)-threo-Iso(homo)2-citrate	C(CC(C(C(=O)O)O)C(=O)O)CC(=O)O
(R)-(Homo)3-citrate	C(CCC(CC(=O)O)(C(=O)O)O)CC(=O)O
(-)-threo-Iso(homo)3-citrate	C(CCC(=O)O)CC(C(C(=O)O)O)C(=O)O
6-Methylmercaptopurine	CSC1=NC=NC2=C1NC=N2
6-Methylthiopurine 5'-monophosphate ribonucleotide	CSC1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O
6-Thioxanthine 5'-monophosphate	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=O)NC2=S
6-Thioguanosine monophosphate	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=NC2=S)N
5-Fluorouridine	C1=C(C(=O)NC(=O)N1C2C(C(C(O2)CO)O)O)F
5-Fluorouridine monophosphate	C1=C(C(=O)NC(=O)N1C2C(C(C(O2)COP(=O)(O)O)O)O)F
5'-Deoxy-5-fluorocytidine	CC1C(C(C(O1)N2C=C(C(=NC2=O)N)F)O)O
5-Deoxyribose-1-phosphate	CC1C(C(C(O1)OP(=O)(O)O)O)O
beta-D-Ribofuranose	C(C1C(C(C(O1)O)O)O)O
7-Aminomethyl-7-carbaguanine	C1=C(C2=C(N1)N=C(NC2=O)N)CN
Sucrose 6-phosphate	C(C1C(C(C(O1)(CO)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O)O)O
N-Acetylmuramic acid 6-phosphate	CC(C(=O)O)OC1C(C(OC(C1O)COP(=O)(O)O)O)NC(=O)C
2-cis,6-trans-Farnesyl diphosphate	CC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C
Dehypoxanthine futalosine	C1=CC(=CC(=C1)C(=O)O)C(=O)CCC2C(C(C(O2)O)O)O
2-(2'-Methylthio)ethylmalic acid	CSCCC(CC(=O)O)(C(=O)O)O
3-(2'-Methylthio)ethylmalic acid	CSCCC(C(C(=O)O)O)C(=O)O
2-(3'-Methylthio)propylmalic acid	CSCCCC(CC(=O)O)(C(=O)O)O
3-(3'-Methylthio)propylmalic acid	CSCCCC(C(C(=O)O)O)C(=O)O
2-(4'-Methylthio)butylmalic acid	CSCCCCC(CC(=O)O)(C(=O)O)O
3-(4'-Methylthio)butylmalic acid	CSCCCCC(C(C(=O)O)O)C(=O)O
2-(5'-Methylthio)pentylmalic acid	CSCCCCCC(CC(=O)O)(C(=O)O)O
3-(5'-Methylthio)pentylmalic acid	CSCCCCCC(C(C(=O)O)O)C(=O)O
2-(6'-Methylthio)hexylmalic acid	CSCCCCCCC(CC(=O)O)(C(=O)O)O
3-(6'-Methylthio)hexylmalic acid	CSCCCCCCC(C(C(=O)O)O)C(=O)O
2-(7'-Methylthio)heptylmalic acid	CSCCCCCCCC(CC(=O)O)(C(=O)O)O
3-(7'-Methylthio)heptylmalic acid	CSCCCCCCCC(C(C(=O)O)O)C(=O)O
(25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA	CC(CCCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(C(CC6C5C(CC7C6(CCC(C7)O)C)O)O)C
(25R)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	CC(CCCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(CCC6C5C(CC7C6(CCC(C7)O)C)O)C
(25S)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	CC(CCCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(CCC6C5C(CC7C6(CCC(C7)O)C)O)C
Cobalt-factor III	CC1=C2C(C(C(=N2)C=C3C(C(C(=CC4=NC(=CC5=C(C(=C1[N-]5)CC(=O)O)CCC(=O)O)C(=C4CC(=O)O)CCC(=O)O)[N-]3)CCC(=O)O)(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O.[Co]
di-trans,poly-cis-Undecaprenyl phosphate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)O)C)C)C)C)C)C)C)C)C)C)C
(6E)-8-Oxogeranial	CC(=CC=O)CCC=C(C)C=O
N-Acetyldemethylphosphinothricin	CC(=O)NC(CC[P+](=O)O)C(=O)O
N-Acetylphosphinothricin	CC(=O)NC(CCP(=O)(C)O)C(=O)O
Demethylphosphinothricin	C(C[P+](=O)O)C(C(=O)O)N
(2S)-Ethylmalonyl-CoA	CCC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
5'-Phosphoguanylyl(3'->5')guanosine	C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])OC4C(OC(C4O)N5C=NC6=C5N=C(NC6=O)N)COP(=O)([O-])[O-])O)O)N=C(NC2=O)N
Ethylnitronate	CC=[N+]([O-])[O-]
D-Allulose 6-phosphate	C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O
Secoisolariciresinol	COC1=C(C=CC(=C1)CC(CO)C(CC2=CC(=C(C=C2)O)OC)CO)O
Molybdoenzyme molybdenum cofactor	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)NC(=N3)N)[S-])[S-])OP(=O)(O)O.O=[Mo+2]=O
Precursor Z	C1C2C(C(C3C(O2)NC4=C(N3)C(=O)NC(=N4)N)(O)O)OP(=O)(O1)O
trans,octacis-Decaprenyl diphosphate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C)C)C)C)C
(2S)-Methylsuccinyl-CoA	CC(CC(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
4-Aminocatechol	C1=CC(=C(C=C1N)O)O
(2R)-2-Hydroxy-2-methylbutanenitrile	CCC(C)(C#N)O
Methylselenic acid	C[Se](=O)O
Malonyl-[acp] methyl ester	
D-Alanyl-(R)-lactate	CC(C(=O)OC(C)C(=O)O)N
UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate	CC(=O)NC1C(C(OC(C1O)C(=O)O)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
Crocetin dialdehyde	CC(=CC=CC=C(C)C=CC=C(C)C=O)C=CC=C(C)C=O
(3S)-3-Hydroxycyclocitral	CC1=C(C(CC(C1)O)(C)C)C=O
UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate	CC(=O)NC1C(C(OC(C1O)C(=O)O)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
Pimeloyl-[acyl-carrier protein]	
Pimeloyl-[acyl-carrier protein] methyl ester	
Demethylmenaquinol	CC(=CCCC(=CCC1=C(C2=CC=CC=C2C(=C1)O)O)C)C
Adenylated molybdopterin	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(=C(C5C(O4)NC6=C(N5)C(=O)NC(=N6)N)S)S)O)O)N
tritrans,heptacis-Undecaprenyl diphosphate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C)C)C)C)C)C
Guanylyl molybdenum cofactor	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(=C(C5C(O4)NC6=C(N5)C(=O)NC(=N6)N)[S-])[S-])O)O)N=C(NC2=O)N.O=[Mo+2]=O
1D-chiro-Inositol	C1(C(C(C(C(C1O)O)O)O)O)O
3-Hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione	CC1=C(C=C(C=C1)O)CCC2C3CCC(=O)C3(CCC2=O)C
3-Oxo-5,6-dehydrosuberyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CC=CCC(=O)O)O
2-Oxepin-2(3H)-ylideneacetyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=C4CC=CC=CO4)O
2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC45C=CC=CC4O5)O
3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate	
(2R)-Ethylmalonyl-CoA	CCC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
6-Carboxy-5,6,7,8-tetrahydropterin	C1C(NC2=C(N1)N=C(NC2=O)N)C(=O)[O-]
2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate	CC1=NC(SC1=CCOP(=O)([O-])[O-])C(=O)[O-]
2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate	CC1=C(SC(=N1)C(=O)[O-])CCOP(=O)([O-])[O-]
7-Carboxy-7-carbaguanine	C1=C(C2=C(N1)N=C(NC2=O)N)C(=O)O
1-Keto-D-chiro-inositol	
5-Androstene-3,17-dione	CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(=O)C4)C
(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	C1C(CC(=NC1C(=O)O)C(=O)O)O
4-Amino-5-aminomethyl-2-methylpyrimidine	CC1=NC=C(C(=N1)N)CN
Tetraprenyl-beta-curcumene	CC1=CCC(=CC1)C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
2-Oxo-4-phenylbutyric acid	C1=CC=C(C=C1)CCC(=O)C(=O)O
UDP-N,N'-diacetylbacillosamine	CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C)O)NC(=O)C
UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate	CC(=O)NC1C(C(C(OC1OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)C(=O)[O-])O)[NH3+]
3-Ketoglutaryl-[acp] methyl ester	
3-Hydroxyglutaryl-[acp] methyl ester	
Enoylglutaryl-[acp] methyl ester	
Glutaryl-[acp] methyl ester	
3-Ketopimeloyl-[acp] methyl ester	
3-Hydroxypimeloyl-[acp] methyl ester	
Enoylpimeloyl-[acp] methyl ester	
Biotin sulfoxide	C1C2C(C(S1=O)CCCCC(=O)O)NC(=O)N2
UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate	CC(=O)NC1C(OC(C(C1=O)O)C(=O)O)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O
Methylphosphonate	CP(=O)([O-])[O-]
